   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 656,        215322,          106681,            324,     22864,        1888,         58,        431646,             643,            684,    29015,       5582,        65
 657,        216175,          107106,            327,     22441,        1925,         58,        432961,             648,            685,    29047,       5589,        66
 658,        216690,          107362,            327,     22395,        1903,         58,        434278,             648,            687,    29140,       5607,        66
 659,        217099,          107565,            328,     22938,        1898,         58,        435597,             649,            687,    29214,       5621,        66
 660,        217574,          107801,            331,     23867,        1882,         58,        436918,             648,            689,    29175,       5614,        67
 661,        217781,          107903,            331,     24346,        1900,         59,        438241,             650,            688,    29242,       5622,        66
 662,        218204,          108113,            330,     23632,        1956,         60,        439566,             655,            692,    29248,       5621,        67
 663,        219109,          108564,            330,     24840,        1912,         57,        440893,             657,            696,    29363,       5651,        66
 664,        219186,          108601,            332,     25844,        1893,         57,        442222,             658,            726,    29420,       5660,        68
 665,        219393,          108703,            350,     22754,        1959,         59,        443553,             657,            699,    29456,       5666,        68
 666,        220352,          109181,            336,     23479,        1936,         58,        444886,             654,            704,    29514,       5677,        68
 667,        220571,          109289,            334,     24324,        1961,         59,        446221,             660,            705,    29582,       5692,        69
 668,        220934,          109469,            333,     24049,        1931,         59,        447558,             661,            706,    29597,       5692,        67
 669,        222139,          110070,            332,     23504,        1971,         60,        448897,             662,            709,    29495,       5664,        68
 670,        222414,          110206,            336,     23308,        1947,         59,        450238,             662,            710,    29725,       5718,        69
 671,        223165,          110580,            338,     23753,        1965,         58,        451581,             661,            711,    29707,       5710,        69
 672,        223912,          110952,            338,     24087,        1954,         59,        452926,             663,            715,    29824,       5736,        68
 673,        224155,          111072,            338,     22548,        2008,         60,        454273,             666,            719,    29870,       5746,        69
 674,        224226,          111106,            338,     22712,        1982,         60,        455622,             668,            719,    29876,       5744,        69
 675,        224229,          111106,            337,     23389,        1970,         59,        456973,             668,            719,    29927,       5751,        70
 676,        224936,          111458,            341,     22578,        2002,         61,        458326,             665,            722,    29979,       5767,        69
 677,        225273,          111625,            340,     24051,        1962,         58,        459681,             670,            728,    29981,       5761,        70
 678,        225428,          111701,            339,     23300,        1970,         60,        461038,             672,            728,    30126,       5797,        69
 679,        226275,          112123,            347,     24023,        1977,         59,        462397,             672,            726,    30151,       5802,        71
 680,        227528,          112748,            342,     24335,        2019,         62,        463758,             670,            733,    30270,       5824,        70
 681,        228613,          113289,            346,     23250,        2024,         62,        465121,             679,            736,    30182,       5798,        72
 682,        228832,          113397,            346,     23318,        2010,         61,        466486,             676,            737,    30270,       5823,        69
 683,        229967,          113963,            359,     24079,        1987,         62,        467853,             678,            738,    30317,       5824,        70
 684,        230214,          114085,            347,     23188,        2014,         62,        469222,             679,            743,    30451,       5861,        70
 685,        230597,          114275,            349,     24042,        1997,         61,        470593,             677,            747,    30478,       5865,        70
 686,        230882,          114416,            348,     24113,        2011,         61,        471966,             678,            746,    30458,       5861,        71
 687,        231717,          114832,            351,     25335,        1958,         60,        473341,             678,            747,    30550,       5875,        71
 688,        232430,          115187,            351,     25798,        1963,         62,        474718,             681,            753,    30620,       5889,        72
 689,        232465,          115203,            350,     25184,        2009,         61,        476097,             681,            750,    30643,       5894,        72
 690,        232622,          115280,            393,     25601,        2002,         59,        477478,             682,            753,    30663,       5898,        72
 691,        233759,          115847,            354,     24728,        1989,         62,        478861,             688,            754,    30804,       5927,        71
 692,        233952,          115942,            353,     24729,        1974,         60,        480246,             687,            757,    30829,       5931,        71
 693,        235161,          116545,            355,     25381,        2014,         60,        481633,             684,            758,    30878,       5936,        71
 694,        235992,          116959,            356,     25474,        1993,         61,        483022,             688,            766,    30886,       5943,        71
 695,        236047,          116985,            356,     23473,        2031,         66,        484413,             692,            765,    30848,       5932,        70
 696,        236160,          117040,            357,     23465,        2031,         60,        485806,             691,            765,    30915,       5939,        72
 697,        237099,          117508,            359,     23688,        2036,         62,        487201,             691,            767,    31077,       5979,        71
 698,        237362,          117638,            359,     23685,        2063,         63,        488598,             687,            772,    31129,       5995,        70
 699,        237917,          117914,            363,     24208,        2043,         63,        489997,             692,            776,    31134,       5986,        71
 700,        238122,          118015,            361,     24825,        2048,         62,        491398,             693,            774,    31243,       6013,        71
 701,        238185,          118045,            359,     26640,        2010,         63,        492801,             693,            780,    31266,       6013,        72
 702,        238912,          118407,            360,     26372,        2005,         62,        494206,             692,            779,    31257,       6010,        71
 703,        239247,          118573,            362,     25596,        2042,         61,        495613,             695,            781,    31383,       6038,        72
 704,        239700,          118798,            361,     24666,        2061,         62,        497022,             698,           1053,    31370,       6030,       149
 705,        240809,          119351,            726,     25182,        2046,        136,        498433,             701,           1206,    31417,       6041,        74
 706,        241814,          119852,            365,     24372,        2085,         64,        499846,             699,            790,    31486,       6054,        73
 707,        243207,          120547,            367,     26093,        2094,         64,        501261,             700,            792,    31530,       6064,        73
 708,        244448,          121166,            370,     26861,        2043,         63,        502678,             701,            794,    31663,       6092,        72
 709,        244699,          121290,            369,     24381,        2104,         63,        504097,             706,            797,    31644,       6085,        73
 710,        244872,          121375,            371,     25231,        2080,         61,        505518,             703,            795,    31759,       6110,        73
 711,        244891,          121383,            373,     24829,        2106,         63,        506941,             705,            857,    31819,       6120,        72
 712,        244942,          121407,            370,     25699,        2082,         61,        508366,             707,            805,    31937,       6149,        71
 713,        244993,          121431,            372,     26491,        2077,         64,        509793,             707,            803,    31973,       6158,        74
 714,        245998,          121932,            370,     26187,        2063,         68,        511222,             708,            813,    32028,       6170,        75
