     n, heap_cmp, heap_swaps, heap_time
 71865,  5602333,    1096100,      7712
 71866,  5602530,    1096081,      8804
 71867,  5601907,    1095943,      7610
 71868,  5602526,    1096136,      7602
 71869,  5602880,    1096187,      7609
 71870,  5602801,    1096175,      7590
 71871,  5603253,    1096334,     14993
 71872,  5603552,    1096335,     18312
 71873,  5603168,    1096211,     17286
 71874,  5604454,    1096570,     22386
 71875,  5603258,    1096252,     18087
 71876,  5603002,    1096176,      7600
 71877,  5603381,    1096250,     22861
 71878,  5604749,    1096625,     23090
 71879,  5604418,    1096526,     24034
 71880,  5604048,    1096430,     23940
 71881,  5604457,    1096521,     23152
 71882,  5603958,    1096345,     24436
 71883,  5604345,    1096469,     25040
 71884,  5604103,    1096423,     24503
 71885,  5604425,    1096491,     23954
 71886,  5603697,    1096313,     23074
 71887,  5603930,    1096341,     23119
 71888,  5604882,    1096608,     13327
 71889,  5604287,    1096495,      7617
 71890,  5605474,    1096733,      7639
 71891,  5604209,    1096413,     14050
 71892,  5605281,    1096662,      7711
 71893,  5605018,    1096605,      8379
 71894,  5604968,    1096598,      8347
 71895,  5604957,    1096621,      9377
 71896,  5604909,    1096566,      7936
 71897,  5605630,    1096729,      8829
 71898,  5605419,    1096698,      9156
 71899,  5604759,    1096506,      9357
 71900,  5605562,    1096708,      9010
 71901,  5605247,    1096613,      8936
 71902,  5605585,    1096692,      7659
 71903,  5605032,    1096575,      8797
 71904,  5606410,    1096932,      8307
 71905,  5605013,    1096562,      8679
 71906,  5605260,    1096566,      8303
 71907,  5605785,    1096762,      8703
 71908,  5606605,    1096946,      8651
 71909,  5606631,    1096930,      8224
 71910,  5607055,    1097034,      9291
 71911,  5605994,    1096775,      8235
 71912,  5606163,    1096836,      8613
 71913,  5606298,    1096831,      8633
 71914,  5606800,    1096949,     10540
 71915,  5606079,    1096749,      8628
 71916,  5607362,    1097145,      8881
 71917,  5607249,    1097088,      8050
 71918,  5607137,    1097028,      9591
 71919,  5606946,    1096960,      7603
 71920,  5607050,    1096955,      7770
