   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
602,2383,290,3,12431,837,19,363606,172,579,27796,5424,44
603,2388,291,3,12608,854,21,364813,173,579,27864,5437,46
604,2397,294,3,12639,857,21,366022,172,604,27914,5446,42
605,2400,294,3,12669,859,18,367233,172,586,27966,5456,44
606,2403,294,3,12701,861,17,368446,172,587,28022,5468,43
607,2406,294,3,12664,867,21,369661,172,587,28088,5482,42
608,2409,294,4,12651,857,18,370878,172,591,28116,5484,43
609,2414,295,3,12682,859,18,372097,173,593,28141,5487,43
610,2417,295,3,12689,858,17,373318,173,595,28238,5510,45
611,2420,295,3,12721,855,20,374541,173,596,28274,5518,44
612,2425,296,4,12800,869,18,375766,174,599,28324,5525,43
613,2428,296,3,12773,863,20,376993,174,601,28398,5542,43
614,2431,296,4,12794,862,18,378222,174,601,28449,5551,44
615,2434,296,4,12906,871,19,379453,174,605,28523,5566,42
616,2437,296,3,12897,874,19,380686,174,607,28574,5577,43
617,2442,297,4,12874,866,20,381921,175,609,28593,5578,45
618,2445,297,3,12884,865,19,383158,175,609,28652,5590,43
619,2448,297,3,12972,880,20,384397,175,613,28713,5602,45
620,2451,297,3,12972,877,19,385638,175,617,28766,5612,43
621,2456,298,3,13041,884,20,386881,176,642,28840,5628,44
622,2459,298,3,13009,877,19,388126,176,617,28881,5634,43
623,2462,298,3,13054,890,22,389373,176,622,28961,5652,43
624,2467,299,3,13084,893,18,390622,177,617,29014,5662,43
625,2470,299,3,13019,870,20,391873,177,625,29048,5667,45
626,2477,301,4,13021,865,19,393126,179,627,29127,5684,44
627,2486,304,4,13115,882,19,394381,180,629,29191,5698,45
628,2489,304,3,13145,883,19,395638,180,630,29234,5705,43
629,2492,304,3,13155,887,20,396897,180,631,29268,5711,44
630,2497,305,3,13246,900,20,398158,181,639,29349,5728,44
631,2500,305,3,13341,912,21,399421,181,636,29391,5734,44
632,2505,306,3,13412,921,19,400686,182,803,29450,5747,46
633,2508,306,3,13311,906,22,401953,182,641,29510,5760,45
634,2511,306,3,13311,901,20,403222,182,643,29588,5777,44
635,2516,307,3,13373,905,20,404493,183,646,29616,5779,44
636,2519,307,3,13397,910,20,405766,183,648,29650,5785,45
637,2528,310,3,13403,907,20,407041,184,650,29698,5794,44
638,2535,312,3,13435,906,18,408318,184,650,29796,5817,44
639,2538,312,3,13513,919,20,409597,184,652,29822,5820,44
640,2541,312,4,13523,915,20,410878,184,659,29868,5829,46
641,2544,312,3,13553,922,21,412161,184,656,29967,5851,46
642,2549,313,5,13468,903,20,413446,185,658,29986,5850,46
643,2552,313,3,13592,923,22,414733,185,662,30030,5859,46
644,2555,313,4,13649,929,20,416022,185,685,30081,5869,46
645,2558,313,3,13634,925,19,417313,185,666,30125,5874,45
646,2563,314,3,13665,930,20,418606,186,1502,30241,5904,57
647,2566,314,5,13627,922,29,419901,186,668,30286,5911,53
648,2573,316,4,13607,915,22,421198,187,672,30352,5925,51
649,2584,320,4,13653,921,21,422497,187,673,30410,5937,48
650,2587,320,4,13674,922,19,423798,187,676,30448,5943,48
